_id,meleid,sap,descripcion,linea
65f87eb98d297356122cbfe6,147,LB-00001046,REFRIGERADOR 2.0 PIE EJECUTIVO C/NEGRO HMB002B HAMILTON BEACH,Linea Blanca
65f87eb98d297356122cbfe7,148,LB-00001048,REFRIGERADOR 3.7 PIE EJECUTIVO C/NEGRO HMB004B HAMILTON BEACH,Linea Blanca
65f87eb98d297356122cbfe8,149,LB-00001051,BANDEJA PARA  HORNOS Y FRITURAS ACERO INOX. LRAL302S LG,Linea Blanca
65f87eb98d297356122cbfe9,150,LB-00001060,REFRIGERADOR 14 PIE TWIN BE SPOKE C/AZUL RR39T740541 SAMSUNG,Linea Blanca
65f87eb98d297356122cbfea,151,LB-00001062,CONGELADOR VERTICAL 11 PIE TWIN BE SPOKE C/AZUL RZ32T740541 SAMSUNG,Linea Blanca
65f87eb98d297356122cbfeb,152,LB-00001064,REFRIGERADOR 22 PIE FD ACERO INOX C/NEGRO RF22A4010S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbfec,153,LB-00001066,REFRIGERADOR 28 PIE FD C/NEGRO RF28T5A01B1 SAMSUNG,Linea Blanca
65f87eb98d297356122cbfed,154,LB-00001068,SECADORA ELECT. 24 KG INVERTER C/NEGRO DVE24A5370V SAMSUNG,Linea Blanca
65f87eb98d297356122cbfee,155,LB-00001070,SECADORA ELECT. 22 KG C/BLANCO DVE22A3200W SAMSUNG,Linea Blanca
65f87eb98d297356122cbfef,156,LB-00001071,LAVADORA  19 KG INVERTER  C/SUPERIOR C/BLANCO WA19A3353GW SAMSUNG,Linea Blanca
65f87eb98d297356122cbff0,157,LB-00001072,SECADORA ELECT. 22 KG INVERTER C/BLANCO DVE22A5370W SAMSUNG,Linea Blanca
65f87eb98d297356122cbff1,158,LB-00001076,MICROONDA 0.9 PIE C/PLATA/NEGRO HBEM925AAKP HAMILTON BEACH,Linea Blanca
65f87eb98d297356122cbff2,159,LB-00001077,MICROONDA 1.5 PIE C/PLATA/NEGRO HBEM142AAKP HAMILTON BEACH,Linea Blanca
65f87eb98d297356122cbff3,160,LB-00001079,CAMPANA 30 PULG LED ACERO INOX. C/PLATA WVW57UC0FS WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbff4,161,LB-00001081,REFRIGERADOR 22 PIE SBS C/DISPENSADOR ACERO INOX KRSC703HPS KITCHENAID,Linea Blanca
65f87eb98d297356122cbff5,162,LB-00001094,A/A 11000 BTU SPLIT SWA3020Q C/BLANCO WHIRLPOOL,Linea Blanca
65f87eb98d297356122cbff6,163,LB-00001096,A/A 12000 BTU SPLIT 220V HYNA12000WA23 HYUNDAI,Linea Blanca
65f87eb98d297356122cbff7,164,LB-00001099,A/A 3 TON GABINETE HYNA36000GB23 HYUNDAI,Linea Blanca
65f87eb98d297356122cbff8,165,LB-00001100,A/A 5 TON GABINETE HYNA60000GB23 HYUNDAI,Linea Blanca
65f87eb98d297356122cbff9,166,LB-00001119,HORNO ELECT. 30 PULG ACERO INOX C/PLATA E30EW75PPS ELECTROLUX,Linea Blanca
65f87eb98d297356122cbffa,167,LB-00001120,REFRIGERADOR 22 PIE FD 3 PUERTAS C/PLATA RF22A4220S9 SAMSUNG,Linea Blanca
65f87eb98d297356122cbffb,168,LB-00001122,SECADORA ELECT. 20 KG C/FRONTAL C/BLANCO DVE20A3200W SAMSUNG,Linea Blanca
65f87eb98d297356122cbffc,169,LB-00001123,LAVADORA 17 KG  INVERTER C/SUPERIOR C/GRIS WA17A3353GY SAMSUNG,Linea Blanca
65f87eb98d297356122cbffd,170,LB-00001124,LAVADORA/SECADORA 11 KG INVERTER C/FRONTAL C/GRIS WD11T704DBX SAMSUNG,Linea Blanca
65f87eb98d297356122cbffe,171,LB-00001125,LAVADORA/SECADORA 09 KG INVERTER C/FRONTAL C/BLANCO WD90T4046BE SAMSUNG,Linea Blanca
65f87eb98d297356122cbfff,172,LB-00001129,JUEGO DE MARCOS SKT60M WHIRLPOOL,Linea Blanca
65f87eb98d297356122cc000,173,LB-00001138,LAVADORA 28 KG C/SUPERIOR C/GRIS 7MWTW7120LC WHIRLPOOL,Linea Blanca
65f87eb98d297356122cc001,174,LB-00001139,LAVADORA 27 KG C/SUPERIOR C/BLANCO 7MWTW7120LW WHIRLPOOL,Linea Blanca
65f87eb98d297356122cc002,175,LB-00001140,SECADORA ELECT. 26 KG C/FRONTAL C/GRIS 7MWED7120LC WHIRLPOOL,Linea Blanca
65f87eb98d297356122cc003,176,LB-00001141,SECADORA ELECT. 27 KG C/FRONTAL C/BLANCO 7MWED7120LW WHIRLPOOL,Linea Blanca
